Date,cm_active_customers_28d_gap549,cm_active_customers_91d_gap549,cm_orders_per_active_customer_91d_gap549,cm_revenue_per_active_customer_91d_gap549,cm_new_customer_order_share_91d_gap549,cm_repeat_customer_order_share_91d_gap549,cm_loyal_customer_order_share_91d_gap549,cm_repeat_within_365d_order_share_91d_gap549,cm_median_inter_order_gap_91d_gap549,cm_median_customer_tenure_days_91d_gap549,cm_age_18_34_order_share_91d_gap549,cm_age_35_54_order_share_91d_gap549,cm_age_55_plus_order_share_91d_gap549,cm_female_order_share_91d_gap549,cm_mobile_order_share_91d_gap549,cm_paid_search_acq_order_share_91d_gap549,cm_organic_search_acq_order_share_91d_gap549,cm_east_region_order_share_91d_gap549,cm_region_entropy_91d_gap549,cm_acquisition_entropy_91d_gap549
2023-01-01,3104.0,9912.0,1.1468926553672316,35937.54316787732,0.047149894440534836,0.9528501055594651,0.9042047853624209,0.4699155524278677,379.3901098901099,2976.0274725274726,0.42927515833919777,0.4576002814919071,0.11312456016889515,0.48539760731878956,0.4458128078817734,0.2047853624208304,0.3000527797325827,0.4817030260380014,1.0405050402217624,1.6911295646430042
2023-01-02,3190.0,9831.0,1.1439324585494863,35961.84221544095,0.047483549706562336,0.9525164502934377,0.9043215365463276,0.46887782322603594,380.2912087912088,2976.7747252747254,0.4268184243286502,0.4610528187800107,0.11212875689133914,0.4860394807042504,0.445936332918371,0.2045171616574782,0.3001067046060822,0.48203805797616933,1.0404740897581404,1.690888751598854
2023-01-03,3219.0,9723.0,1.1438856320065822,35976.56851589016,0.047293652220823594,0.9527063477791764,0.9046934004675418,0.4689803992087754,380.24725274725273,2977.6098901098903,0.4269016363963316,0.46142780075525985,0.11167056284840855,0.4856140981837799,0.44686207516633697,0.20535874842654198,0.29976622909548645,0.48201762272972487,1.0404266816586265,1.6911611548768821
2023-01-04,3154.0,9696.0,1.1437706270627064,35988.84525371287,0.04715960324616772,0.9528403967538323,0.9046889089269612,0.4688908926961226,380.3791208791209,2978.598901098901,0.42705139765554556,0.4616771866546438,0.11127141568981064,0.4860234445446348,0.4467087466185753,0.2055004508566276,0.2993688007213706,0.4825969341749324,1.0401963228341855,1.6915257766524463
2023-01-05,3112.0,9685.0,1.143107898812597,35973.68493753226,0.046879234034865866,0.9531207659651342,0.9046156625417758,0.4696956011200434,377.5989010989011,2979.510989010989,0.42715201878782405,0.4621082106404119,0.11073977057176407,0.48649625146779873,0.44657212537259505,0.20549182549001896,0.29970192394544304,0.48207027368801375,1.040384269172725,1.6915169736794986
2023-01-06,3072.0,9671.0,1.1426946541205667,35927.00526419192,0.04687358610080536,0.9531264138991946,0.9045335263777033,0.46955026694416796,376.31868131868134,2980.554945054945,0.4273821373631346,0.46149669713148134,0.11112116550538413,0.48710523934485567,0.44575151569993665,0.20568274364310923,0.29942991584471995,0.4828522305673695,1.0398964195282685,1.6921213466875893
2023-01-07,3019.0,9631.0,1.1426643131554355,35924.42625064895,0.04725124943207633,0.9527487505679236,0.9038618809631985,0.4692412539754657,376.8241758241758,2980.6703296703295,0.4284416174466152,0.4605179463880055,0.11104043616537937,0.48732394366197185,0.4448886869604725,0.20599727396637893,0.30013630168105404,0.48314402544298046,1.039556217689686,1.6912702360691068
2023-01-08,2992.0,9630.0,1.1421599169262722,35881.416047767394,0.04736794254023093,0.9526320574597691,0.9037185198654423,0.4696790617328848,375.6703296703297,2981.2582417582416,0.42749340849168105,0.4612237476134194,0.11128284389489954,0.48877170651877444,0.44567687971633785,0.20538230748249842,0.2999363578507137,0.4833166651513774,1.0391805918232513,1.6912273491368324
2023-01-09,2992.0,9634.0,1.141789495536641,35809.132041727215,0.047636363636363636,0.9523636363636364,0.9028181818181819,0.46854545454545454,376.4175824175824,2981.214285714286,0.42772727272727273,0.4611818181818182,0.11109090909090909,0.48763636363636365,0.44636363636363635,0.2050909090909091,0.3004545454545455,0.4818181818181818,1.039975648303125,1.6910838654920362
2023-01-10,2965.0,9633.0,1.1412851655766636,35777.473273123636,0.04766236128797526,0.9523376387120247,0.9025832272148444,0.4678006185191923,377.0989010989011,2983.1593406593406,0.4274149536110606,0.46161542659632526,0.11096961979261415,0.48781153356376206,0.44660724031289795,0.20520283791158814,0.30089139530653086,0.4821720938693833,1.0396760883741485,1.6907977354360304
